id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30003771,Charming flat in City Center. Pool & Free Parking,22524109,Mima,,Centro,36.72652,-4.42007,Entire home/apt,53,3,73,2020-09-01,3.14,7,143
30009525,Solaga - Atarazanas,126429738,Steffen,,Centro,36.71852,-4.42539,Entire home/apt,98,1,2,2019-09-22,0.14,56,344
30031263,City Center. With pool & parking. Very sunny,22524109,Mima,,Centro,36.72572,-4.42017,Entire home/apt,79,3,63,2020-08-25,2.80,7,189
30031682,City Center. Pool & parking & private patio :),22524109,Mima,,Centro,36.72585,-4.41931,Entire home/apt,70,3,75,2020-08-18,3.38,7,188
30032075,Málaga City center. Pool & parking & private patio,22524109,Mima,,Centro,36.72338,-4.42041,Entire home/apt,74,3,78,2020-08-27,3.42,7,188
30032684,Heart of Málaga,168094895,Afaf,,Centro,36.72344,-4.42266,Entire home/apt,150,5,12,2019-09-09,0.51,4,365
30063108,Malaga Holidays City Center 3 bedrooms,8544512,Malaga Center Flat,,Centro,36.72085,-4.42904,Entire home/apt,64,3,21,2020-09-27,0.93,36,311
30075912,Acogedor Loft en centro de Málaga,226007116,Maria,,Centro,36.72059,-4.43137,Entire home/apt,46,3,51,2020-08-19,2.28,1,89
30077807,"APARTAMENTO NUEVO EN CENTRO HISTORICO, CON WIFI.",226017020,Nani,,Centro,36.72882,-4.41468,Entire home/apt,63,3,49,2020-03-09,2.13,1,179
30088796,iloftmalaga Casapalma Suites III,80225433,I Loft Malaga,,Centro,36.72217,-4.42088,Entire home/apt,60,1,0,,,218,73
30088800,iloftmalaga Estación Central IV,80225433,I Loft Malaga,,Carretera de Cadiz,36.70854,-4.43547,Entire home/apt,74,1,5,2020-01-23,0.21,218,236
30088802,iloftmalaga Estación Central VIII,80225433,I Loft Malaga,,Carretera de Cadiz,36.70823,-4.43539,Entire home/apt,63,1,1,2019-09-21,0.07,218,236
30088803,iloftmalaga Estación Central I,80225433,I Loft Malaga,,Carretera de Cadiz,36.70901,-4.43584,Entire home/apt,72,1,4,2020-05-23,0.21,218,236
30088805,iloftmalaga Estación II,80225433,I Loft Malaga,,Carretera de Cadiz,36.70851,-4.43482,Entire home/apt,71,1,1,2019-08-02,0.07,218,236
30088806,iloftmalaga Estación Central X,80225433,I Loft Malaga,,Carretera de Cadiz,36.70842,-4.4338,Entire home/apt,63,1,0,,,218,236
